1.18(a) A vessel of volume $22.4 \mathrm{dm}^3$ contains $2.0 \mathrm{~mol} \mathrm{H}_2$ and $1.0 \mathrm{~mol} \mathrm{~N}_2$ at $273.15 \mathrm{~K}$. Calculate their total pressure.,2.5 $\mathrm{atm}$,4.0 $\mathrm{atm}$,3.5 $\mathrm{atm}$, 3.0$\mathrm{atm}$ ,D,scibench-atkins
"1.19(a) The critical constants of methane are $p_{\mathrm{c}}=45.6 \mathrm{~atm}, V_{\mathrm{c}}=98.7 \mathrm{~cm}^3 \mathrm{~mol}^{-1}$, and $T_{\mathrm{c}}=190.6 \mathrm{~K}$. Estimate the radius of the molecules.",0.098 $\mathrm{nm}$,0.150 $\mathrm{nm}$, 0.118$\mathrm{nm}$ ,0.200 $\mathrm{nm}$,C,scibench-atkins
"1.7(a) In an attempt to determine an accurate value of the gas constant, $R$, a student heated a container of volume $20.000 \mathrm{dm}^3$ filled with $0.25132 \mathrm{g}$ of helium gas to $500^{\circ} \mathrm{C}$ and measured the pressure as $206.402 \mathrm{cm}$ of water in a manometer at $25^{\circ} \mathrm{C}$. Calculate the value of $R$ from these data. (The density of water at $25^{\circ} \mathrm{C}$ is $0.99707 \mathrm{g} \mathrm{cm}^{-3}$; a manometer consists of a U-shaped tube containing a liquid. One side is connected to the apparatus and the other is open to the atmosphere. The pressure inside the apparatus is then determined from the difference in heights of the liquid.)",9.3147$\mathrm{JK}^{-1} \mathrm{~mol}^{-1}$,7.3147$\mathrm{JK}^{-1} \mathrm{~mol}^{-1}$,8.8147$\mathrm{JK}^{-1} \mathrm{~mol}^{-1}$, 8.3147$\mathrm{JK}^{-1} \mathrm{~mol}^{-1}$,D,scibench-atkins
"A car tyre (i.e. an automobile tire) was inflated to a pressure of $24 \mathrm{lb} \mathrm{in}^{-2}$ $(1.00 \mathrm{atm}=14.7 \mathrm{lb} \mathrm{in}^{-2})$ on a winter's day when the temperature was $-5^{\circ} \mathrm{C}$. What pressure will be found, assuming no leaks have occurred and that the volume is constant, on a subsequent summer's day when the temperature is $35^{\circ} \mathrm{C}$?",30$\mathrm{lb} \mathrm{in}^{-2}$,32$\mathrm{lb} \mathrm{in}^{-2}$,28$\mathrm{lb} \mathrm{in}^{-2}$,26$\mathrm{lb} \mathrm{in}^{-2}$,A,scibench-atkins
A certain gas obeys the van der Waals equation with $a=0.50 \mathrm{~m}^6 \mathrm{~Pa}$ $\mathrm{mol}^{-2}$. Its volume is found to be $5.00 \times 10^{-4} \mathrm{~m}^3 \mathrm{~mol}^{-1}$ at $273 \mathrm{~K}$ and $3.0 \mathrm{MPa}$. From this information calculate the van der Waals constant $b$. What is the compression factor for this gas at the prevailing temperature and pressure?,0.75,0.60, 0.66,0.82,C,scibench-atkins
A constant-volume perfect gas thermometer indicates a pressure of $6.69 \mathrm{kPa}$ at the triple point temperature of water (273.16 K). What change of pressure indicates a change of $1.00 \mathrm{~K}$ at the latter temperature?, 0.0245$\mathrm{kPa}$ ,0.0445$\mathrm{kPa}$,0.0145$\mathrm{kPa}$,0.0345$\mathrm{kPa}$,A,scibench-atkins
A constant-volume perfect gas thermometer indicates a pressure of $6.69 \mathrm{kPa}$ at the triple point temperature of water (273.16 K). What change of pressure indicates a change of $1.00 \mathrm{~K}$ at this temperature?,0.0127$\mathrm{kPa}$,0.0453$\mathrm{kPa}$, 0.0245$\mathrm{kPa}$ ,0.0332$\mathrm{kPa}$,C,scibench-atkins
A constant-volume perfect gas thermometer indicates a pressure of $6.69 \mathrm{kPa}$ at the triple point temperature of water (273.16 K). What pressure indicates a temperature of $100.00^{\circ} \mathrm{C}$?,7.89 $\mathrm{kPa}$,10.25 $\mathrm{kPa}$, 9.14$\mathrm{kPa}$ ,8.56 $\mathrm{kPa}$,C,scibench-atkins
A diving bell has an air space of $3.0 \mathrm{m}^3$ when on the deck of a boat. What is the volume of the air space when the bell has been lowered to a depth of $50 \mathrm{m}$? Take the mean density of sea water to be $1.025 \mathrm{g} \mathrm{cm}^{-3}$ and assume that the temperature is the same as on the surface.,1.5 $\text{m}^3$,2.0 $\text{m}^3$, 0.5$\text{m}^3$ ,2.5 $\text{m}^3$,C,scibench-atkins
A gas at $250 \mathrm{~K}$ and $15 \mathrm{~atm}$ has a molar volume 12 per cent smaller than that calculated from the perfect gas law. Calculate the compression factor under these conditions.,0.75,1.12,0.88 ,0.92,C,scibench-atkins
A gas at $250 \mathrm{~K}$ and $15 \mathrm{~atm}$ has a molar volume 12 per cent smaller than that calculated from the perfect gas law. Calculate the molar volume of the gas.,1.5$\mathrm{dm}^3 \mathrm{~mol}^{-1}$,0.8$\mathrm{dm}^3 \mathrm{~mol}^{-1}$, 1.2$\mathrm{dm}^3 \mathrm{~mol}^{-1}$ ,1.8$\mathrm{dm}^3 \mathrm{~mol}^{-1}$,C,scibench-atkins
