 Calculate (a) the wavelength and kinetic energy of an electron in a beam of electrons accelerated by a voltage increment of $100 \mathrm{~V}$ ,1.800 $10^{-17} \mathrm{~J} \cdot$ electron ${ }^{-1}$, 1.602 $10^{-17} \mathrm{~J} \cdot$ electron ${ }^{-1}$,2.304 $10^{-17} \mathrm{~J} \cdot$ electron ${ }^{-1}$,1.259 $10^{-17} \mathrm{~J} \cdot$ electron ${ }^{-1}$,B,scibench-chemmc
" In the infrared spectrum of $\mathrm{H}^{127} \mathrm{I}$, there is an intense line at $2309 \mathrm{~cm}^{-1}$. Calculate the force constant of $\mathrm{H}^{127} \mathrm{I}$.",350 $ \mathrm{~N} \cdot \mathrm{m}^{-1}$,313 $ \mathrm{~N} \cdot \mathrm{m}^{-1}$,400 $ \mathrm{~N} \cdot \mathrm{m}^{-1}$,250 $ \mathrm{~N} \cdot \mathrm{m}^{-1}$,B,scibench-chemmc
" Sirius, one of the hottest known stars, has approximately a blackbody spectrum with $\lambda_{\max }=260 \mathrm{~nm}$. Estimate the surface temperature of Sirius.
",8500 $\mathrm{~K}$,15000 $\mathrm{~K}$,9500 $\mathrm{~K}$,"11000 $\mathrm{~K}$
",D,scibench-chemmc
"$$
\beta=2 \pi c \tilde{\omega}_{\mathrm{obs}}\left(\frac{\mu}{2 D}\right)^{1 / 2}
$$
Given that $\tilde{\omega}_{\mathrm{obs}}=2886 \mathrm{~cm}^{-1}$ and $D=440.2 \mathrm{~kJ} \cdot \mathrm{mol}^{-1}$ for $\mathrm{H}^{35} \mathrm{Cl}$, calculate $\beta$.",2.10 $10^{10} \mathrm{~m}^{-1}$,1.35 $10^{10} \mathrm{~m}^{-1}$,2.45 $10^{10} \mathrm{~m}^{-1}$, 1.81 $10^{10} \mathrm{~m}^{-1}$,D,scibench-chemmc
"$$
\text { If we locate an electron to within } 20 \mathrm{pm} \text {, then what is the uncertainty in its speed? }
$$",1.8$10^7 \mathrm{~m} \cdot \mathrm{s}^{-1}$,2.5$10^7 \mathrm{~m} \cdot \mathrm{s}^{-1}$, 3.7$10^7 \mathrm{~m} \cdot \mathrm{s}^{-1}$ ,4.9$10^7 \mathrm{~m} \cdot \mathrm{s}^{-1}$,C,scibench-chemmc
"$$
\text {Calculate the energy of a photon for a wavelength of } 100 \mathrm{pm} \text { (about one atomic diameter). }
$$
",1.5 $10^{-15} \mathrm{~J}$,2.5 $10^{-15} \mathrm{~J}$, 2 $10^{-15} \mathrm{~J}$,3 $10^{-15} \mathrm{~J}$,C,scibench-chemmc
A ground-state hydrogen atom absorbs a photon of light that has a wavelength of $97.2 \mathrm{~nm}$. It then gives off a photon that has a wavelength of $486 \mathrm{~nm}$. What is the final state of the hydrogen atom?, 2,3,4,1,A,scibench-chemmc
A helium-neon laser (used in supermarket scanners) emits light at $632.8 \mathrm{~nm}$. Calculate the frequency of this light.,5.500$10^{14} \mathrm{~Hz}$,3.982$10^{14} \mathrm{~Hz}$,4.200$10^{14} \mathrm{~Hz}$, 4.738$10^{14} \mathrm{~Hz}$ ,D,scibench-chemmc
A household lightbulb is a blackbody radiator. Many lightbulbs use tungsten filaments that are heated by an electric current. What temperature is needed so that $\lambda_{\max }=550 \mathrm{~nm}$ ?,4500 $\mathrm{~K}$," 5300 $\mathrm{~K}$
",4800 $\mathrm{~K}$,6000 $\mathrm{~K}$,B,scibench-chemmc
A line in the Lyman series of hydrogen has a wavelength of $1.03 \times 10^{-7} \mathrm{~m}$. Find the original energy level of the electron.,2,4, 3,5,C,scibench-chemmc
