" A British warship fires a projectile due south near the Falkland Islands during World War I at latitude $50^{\circ} \mathrm{S}$. If the shells are fired at $37^{\circ}$ elevation with a speed of $800 \mathrm{~m} / \mathrm{s}$, by how much do the shells miss their target and in what direction? Ignore air resistance.", 260 $\mathrm{~m}$,200 $\mathrm{~m}$,320 $\mathrm{~m}$,280 $\mathrm{~m}$,A,scibench-class
" An automobile with a mass of $1000 \mathrm{~kg}$, including passengers, settles $1.0 \mathrm{~cm}$ closer to the road for every additional $100 \mathrm{~kg}$ of passengers. It is driven with a constant horizontal component of speed $20 \mathrm{~km} / \mathrm{h}$ over a washboard road with sinusoidal bumps. The amplitude and wavelength of the sine curve are $5.0 \mathrm{~cm}$ and $20 \mathrm{~cm}$, respectively. The distance between the front and back wheels is $2.4 \mathrm{~m}$. Find the amplitude of oscillation of the automobile, assuming it moves vertically as an undamped driven harmonic oscillator. Neglect the mass of the wheels and springs and assume that the wheels are always in contact with the road.
",0.2 $ \mathrm{~mm}$,-0.1 $ \mathrm{~mm}$, -0.16 $ \mathrm{~mm}$,0.05 $ \mathrm{~mm}$,C,scibench-class
 Find the center of mass of a uniformly solid cone of base diameter $2a$ and height  $h$,$\frac{2}{3}h$,$h$,$\frac{1}{2}h$, $\frac{3}{4}$$h$,D,scibench-class
" Use the function described in Example 4.3, $x_{n+1}=\alpha x_n\left(1-x_n^2\right)$ where $\alpha=2.5$. Consider two starting values of $x_1$ that are similar, 0.9000000 and 0.9000001 . Make a plot of $x_n$ versus $n$ for the two starting values and determine the lowest value of $n$ for which the two values diverge by more than $30 \%$.",40, 30,25,35,B,scibench-class
"A billiard ball of initial velocity $u_1$ collides with another billiard ball (same mass) initially at rest. The first ball moves off at $\psi=45^{\circ}$. For an elastic collision, what are the velocities of both balls after the collision? ",$u_1$,$\frac{1}{2}$ $u_1$, $\frac{1}{\sqrt{2}}$ $u_1$,$\sqrt{2}$ $u_1$,C,scibench-class
"A child slides a block of mass $2 \mathrm{~kg}$ along a slick kitchen floor. If the initial speed is 4 $\mathrm{m} / \mathrm{s}$ and the block hits a spring with spring constant $6 \mathrm{~N} / \mathrm{m}$, what is the maximum compression of the spring? ",1.5 $\mathrm{~m}$, 2.3$\mathrm{~m}$ ,3.2 $\mathrm{~m}$,2.9 $\mathrm{~m}$,B,scibench-class
"A clown is juggling four balls simultaneously. Students use a video tape to determine that it takes the clown $0.9 \mathrm{~s}$ to cycle each ball through his hands (including catching, transferring, and throwing) and to be ready to catch the next ball. What is the minimum vertical speed the clown must throw up each ball?
",9.8 $\mathrm{m} \cdot \mathrm{s}^{-1}$,11.5 $\mathrm{m} \cdot \mathrm{s}^{-1}$,15.7 $\mathrm{m} \cdot \mathrm{s}^{-1}$,13.2$\mathrm{~m} \cdot \mathrm{s}^{-1}$ ,D,scibench-class
"A deuteron (nucleus of deuterium atom consisting of a proton and a neutron) with speed $14.9 \mathrm{~km} / \mathrm{s}$ collides elastically with a neutron at rest. Use the approximation that the deuteron is twice the mass of the neutron. If the deuteron is scattered through a $\mathrm{LAB}$ angle $\psi=10^{\circ}$, what is the final speed of the deuteron?",15.3$\mathrm{~km} / \mathrm{s}$,14.9$\mathrm{~km} / \mathrm{s}$,14.44$\mathrm{~km} / \mathrm{s}$,13.8$\mathrm{~km} / \mathrm{s}$,C,scibench-class
A gun fires a projectile of mass $10 \mathrm{~kg}$ of the type to which the curves of Figure 2-3 apply. The muzzle velocity is $140 \mathrm{~m} / \mathrm{s}$. Through what angle must the barrel be elevated to hit a target on the same horizontal plane as the gun and $1000 \mathrm{~m}$ away? Compare the results with those for the case of no retardation.,22.5$^{\circ}$,15.2$^{\circ}$, 17.4$^{\circ}$ ,20.7$^{\circ}$,C,scibench-class
"A mass $m$ moves in one dimension and is subject to a constant force $+F_0$ when $x<0$ and to a constant force $-F_0$ when $x>0$. Describe the motion by constructing a phase diagram. Calculate the period of the motion in terms of $m, F_0$, and the amplitude $A$ (disregard damping) .", 4 $\sqrt{\frac{2 m A}{F_0}}$,2 $\sqrt{\frac{2 m A}{F_0}}$,$\sqrt{\frac{4 m A}{F_0}}$,4 $\sqrt{\frac{m A}{2 F_0}}$,A,scibench-class
