" If $125 \mathrm{~cm}^3$ of hydrogen gas effuses through a small hole in 135 seconds, how long will it take the same volume of oxygen gas to effuse under the same temperature and pressure?",245 $\mathrm{s}$,675 $\mathrm{s}$,400 $\mathrm{s}$, 537 $\mathrm{s}$,D,scibench-matter
"A chemical reaction takes place in a container of cross-sectional area $50 \mathrm{~cm}^2$. As a result of the reaction, a piston is pushed out through $15 \mathrm{~cm}$ against an external pressure of $1.0 \mathrm{~atm}$. Calculate the work done by the system.",-60 $\mathrm{~J}$, -75 $\mathrm{~J}$,-50 $\mathrm{~J}$,-90 $\mathrm{~J}$,B,scibench-matter
"A mixture of water and ethanol is prepared with a mole fraction of water of 0.60 . If a small change in the mixture composition results in an increase in the chemical potential of water by $0.25 \mathrm{~J} \mathrm{~mol}^{-1}$, by how much will the chemical potential of ethanol change?",0.38 $\mathrm{~J} \mathrm{~mol}^{-1}$,-0.60 $\mathrm{~J} \mathrm{~mol}^{-1}$,-0.20 $\mathrm{~J} \mathrm{~mol}^{-1}$, -0.38 $\mathrm{~J} \mathrm{~mol}^{-1}$,D,scibench-matter
"A particle of mass $1.0 \mathrm{~g}$ is released near the surface of the Earth, where the acceleration of free fall is $g=8.91 \mathrm{~m} \mathrm{~s}^{-2}$. What will be its kinetic energy after  $1.0 \mathrm{~s}$. Ignore air resistance?",48 $\mathrm{~mJ}$,24 $\mathrm{~mJ}$,60 $\mathrm{~mJ}$,36 $\mathrm{~mJ}$,A,scibench-matter
"A sample of the sugar D-ribose of mass $0.727 \mathrm{~g}$ was placed in a calorimeter and then ignited in the presence of excess oxygen. The temperature rose by $0.910 \mathrm{~K}$. In a separate experiment in the same calorimeter, the combustion of $0.825 \mathrm{~g}$ of benzoic acid, for which the internal energy of combustion is $-3251 \mathrm{~kJ} \mathrm{~mol}^{-1}$, gave a temperature rise of $1.940 \mathrm{~K}$. Calculate the enthalpy of formation of D-ribose.", -1270 $\mathrm{~kJ} \mathrm{~mol}^{-1}$,-1340 $\mathrm{~kJ} \mathrm{~mol}^{-1}$,-1210 $\mathrm{~kJ} \mathrm{~mol}^{-1}$,-1150 $\mathrm{~kJ} \mathrm{~mol}^{-1}$,A,scibench-matter
"A swimmer enters a gloomier world (in one sense) on diving to greater depths. Given that the mean molar absorption coefficient of seawater in the visible region is $6.2 \times 10^{-3} \mathrm{dm}^3 \mathrm{~mol}^{-1} \mathrm{~cm}^{-1}$, calculate the depth at which a diver will experience half the surface intensity of light.",0.67 $\mathrm{~m}$,1.2 $\mathrm{~m}$,1.5 $\mathrm{~m}$, 0.87 $\mathrm{~m}$,D,scibench-matter
"A thermodynamic study of $\mathrm{DyCl}_3$ (E.H.P. Cordfunke, et al., J. Chem. Thermodynamics 28, 1387 (1996)) determined its standard enthalpy of formation from the following information
(1) $\mathrm{DyCl}_3(\mathrm{~s}) \rightarrow \mathrm{DyCl}_3(\mathrm{aq}$, in $4.0 \mathrm{M} \mathrm{HCl}) \quad \Delta_{\mathrm{r}} H^{\ominus}=-180.06 \mathrm{~kJ} \mathrm{~mol}^{-1}$
(2) $\mathrm{Dy}(\mathrm{s})+3 \mathrm{HCl}(\mathrm{aq}, 4.0 \mathrm{~m}) \rightarrow \mathrm{DyCl}_3(\mathrm{aq}$, in $4.0 \mathrm{M} \mathrm{HCl}(\mathrm{aq}))+\frac{3}{2} \mathrm{H}_2(\mathrm{~g})$ $\Delta_{\mathrm{r}} H^{\ominus}=-699.43 \mathrm{~kJ} \mathrm{~mol}^{-1}$
(3) $\frac{1}{2} \mathrm{H}_2(\mathrm{~g})+\frac{1}{2} \mathrm{Cl}_2(\mathrm{~g}) \rightarrow \mathrm{HCl}(\mathrm{aq}, 4.0 \mathrm{M}) \quad \Delta_{\mathrm{r}} H^{\ominus}=-158.31 \mathrm{~kJ} \mathrm{~mol}^{-1}$
Determine $\Delta_{\mathrm{f}} H^{\ominus}\left(\mathrm{DyCl}_3, \mathrm{~s}\right)$ from these data.",-1100.4 $\mathrm{~kJ} \mathrm{~mol}^{-1}$,-750.6 $\mathrm{~kJ} \mathrm{~mol}^{-1}$,-878.2 $\mathrm{~kJ} \mathrm{~mol}^{-1}$, -994.3 $\mathrm{~kJ} \mathrm{~mol}^{-1}$,D,scibench-matter
"A very crude model of the buckminsterfullerene molecule $\left(\mathrm{C}_{60}\right)$ is to treat it as a collection of electrons in a cube with sides of length equal to the mean diameter of the molecule $(0.7 \mathrm{~nm})$. Suppose that only the $\pi$ electrons of the carbon atoms contribute, and predict the wavelength of the first excitation of $\mathrm{C}_{60}$. (The actual value is $730 \mathrm{~nm}$.)",0.9 $\mu \mathrm{m}$, 1.6 $\mu \mathrm{m}$,2.3 $\mu \mathrm{m}$,1.2 $\mu \mathrm{m}$,B,scibench-matter
"Although the crystallization of large biological molecules may not be as readily accomplished as that of small molecules, their crystal lattices are no different. Tobacco seed globulin forms face-centred cubic crystals with unit cell dimension of $12.3 \mathrm{~nm}$ and a density of $1.287 \mathrm{~g} \mathrm{~cm}^{-3}$. Determine its molar mass.",4.23 $10^5 \mathrm{~g} \mathrm{~mol}^{-1}$,2.98 $10^5 \mathrm{~g} \mathrm{~mol}^{-1}$,1.82 $10^5 \mathrm{~g} \mathrm{~mol}^{-1}$,3.61 $10^5 \mathrm{~g} \mathrm{~mol}^{-1}$,D,scibench-matter
"An effusion cell has a circular hole of diameter $1.50 \mathrm{~mm}$. If the molar mass of the solid in the cell is $300 \mathrm{~g} \mathrm{~mol}^{-1}$ and its vapour pressure is $0.735 \mathrm{~Pa}$ at $500 \mathrm{~K}$, by how much will the mass of the solid decrease in a period of $1.00 \mathrm{~h}$ ?",12 $\mathrm{mg}$, 16 $\mathrm{mg}$,24 $\mathrm{mg}$,20 $\mathrm{mg}$,B,scibench-matter
