"A one-particle, one-dimensional system has the state function
$$
\Psi=(\sin a t)\left(2 / \pi c^2\right)^{1 / 4} e^{-x^2 / c^2}+(\cos a t)\left(32 / \pi c^6\right)^{1 / 4} x e^{-x^2 / c^2}
$$
where $a$ is a constant and $c=2.000 Å$. If the particle's position is measured at $t=0$, estimate the probability that the result will lie between $2.000 Å$ and $2.001 Å$.", 0.000216,0.000426,0.000312,0.000189,A,scibench-quan
"A particle is subject to the potential energy $V=a x^4+b y^4+c z^4$. If its ground-state energy is $10 \mathrm{eV}$, calculate $\langle V\rangle$ for the ground state.",$7 \mathrm{eV}$,$12 \mathrm{eV}$,$5 \mathrm{eV}$, $3rac{1}{3}$ $\mathrm{eV}$,D,scibench-quan
"An electron in a three-dimensional rectangular box with dimensions of $5.00 Å, 3.00 Å$, and $6.00 Å$ makes a radiative transition from the lowest-lying excited state to the ground state. Calculate the frequency of the photon emitted.",5.32 $10^{14} \mathrm{~s}^{-1}$,8.91 $10^{14} \mathrm{~s}^{-1}$,7.58 $10^{14} \mathrm{~s}^{-1}$,6.47 $10^{14} \mathrm{~s}^{-1}$,C,scibench-quan
"Assume that the charge of the proton is distributed uniformly throughout the volume of a sphere of radius $10^{-13} \mathrm{~cm}$. Use perturbation theory to estimate the shift in the ground-state hydrogen-atom energy due to the finite proton size. The potential energy experienced by the electron when it has penetrated the nucleus and is at distance $r$ from the nuclear center is $-e Q / 4 \pi \varepsilon_0 r$, where $Q$ is the amount of proton charge within the sphere of radius $r$. The evaluation of the integral is simplified by noting that the exponential factor in $\psi$ is essentially equal to 1 within the nucleus.
", 1.2 $10^{-8} \mathrm{eV}$,2.4 $10^{-8} \mathrm{eV}$,0.8 $10^{-8} \mathrm{eV}$,1.6 $10^{-8} \mathrm{eV}$,A,scibench-quan
Calculate the angle that the spin vector $S$ makes with the $z$ axis for an electron with spin function $\alpha$., 54.7 $^{\circ}$,45.0 $^{\circ}$,60.0 $^{\circ}$,90.0 $^{\circ}$,A,scibench-quan
"Calculate the de Broglie wavelength of an electron moving at 1/137th the speed of light. (At this speed, the relativistic correction to the mass is negligible.)",0.500$\mathrm{~nm}$,0.275$\mathrm{~nm}$, 0.332$\mathrm{~nm}$,0.137$\mathrm{~nm}$,C,scibench-quan
Calculate the energy needed to compress three carbon-carbon single bonds and stretch three carbon-carbon double bonds to the benzene bond length $1.397 Å$. Assume a harmonicoscillator potential-energy function for bond stretching and compression. Typical carboncarbon single- and double-bond lengths are 1.53 and $1.335 Å$; typical stretching force constants for carbon-carbon single and double bonds are 500 and $950 \mathrm{~N} / \mathrm{m}$.,15 $\mathrm{kcal} / \mathrm{mol}$,42 $\mathrm{kcal} / \mathrm{mol}$,33 $\mathrm{kcal} / \mathrm{mol}$, 27 $\mathrm{kcal} / \mathrm{mol}$,D,scibench-quan
Calculate the energy of one mole of UV photons of wavelength $300 \mathrm{~nm}$ and compare it with a typical single-bond energy of $400 \mathrm{~kJ} / \mathrm{mol}$.,500 $\mathrm{~kJ} / \mathrm{mol}$, 399 $\mathrm{~kJ} / \mathrm{mol}$,350 $\mathrm{~kJ} / \mathrm{mol}$,450 $\mathrm{~kJ} / \mathrm{mol}$,B,scibench-quan
Calculate the force on an alpha particle passing a gold atomic nucleus at a distance of $0.00300 Å$.,0.505 $\mathrm{~N}$, 0.405 $\mathrm{~N}$,0.305 $\mathrm{~N}$,0.205 $\mathrm{~N}$,B,scibench-quan
Calculate the magnitude of the spin angular momentum of a proton. Give a numerical answer. ,6.25 $10^{-35} \mathrm{~J} \mathrm{~s}$,12.48 $10^{-35} \mathrm{~J} \mathrm{~s}$, 9.13 $10^{-35} \mathrm{~J} \mathrm{~s}$,7.89 $10^{-35} \mathrm{~J} \mathrm{~s}$,C,scibench-quan
Calculate the magnitude of the spin magnetic moment of an electron.,2.01 $10^{-23} \mathrm{~J} / \mathrm{T}$, 1.61 $10^{-23} \mathrm{~J} / \mathrm{T}$,1.23 $10^{-23} \mathrm{~J} / \mathrm{T}$,1.80 $10^{-23} \mathrm{~J} / \mathrm{T}$,B,scibench-quan
Calculate the ratio of the electrical and gravitational forces between a proton and an electron.,3 $10^{39}$,1 $10^{39}$, 2 $10^{39}$,4 $10^{39}$,C,scibench-quan
Calculate the uncertainty $\Delta L_z$ for the hydrogen-atom stationary state: $2 p_z$.,0.5,1,2, 0,D,scibench-quan
Do $\mathrm{HF} / 6-31 \mathrm{G}^*$ geometry optimizations on one conformers of $\mathrm{HCOOH}$ with $\mathrm{OCOH}$ dihedral angle of $0^{\circ}$. Calculate the dipole moment.,0.85 $\mathrm{D}$, 1.41 $\mathrm{D}$,1.89 $\mathrm{D}$,2.35 $\mathrm{D}$,B,scibench-quan
Find the number of CSFs in a full CI calculation of $\mathrm{CH}_2 \mathrm{SiHF}$ using a 6-31G** basis set.,3.72$10^{28} $,9.45$10^{27} $,1.23$10^{30} $, 1.86$10^{28} $,D,scibench-quan
"For $\mathrm{NaCl}, R_e=2.36 Å$. The ionization energy of $\mathrm{Na}$ is $5.14 \mathrm{eV}$, and the electron affinity of $\mathrm{Cl}$ is $3.61 \mathrm{eV}$. Use the simple model of $\mathrm{NaCl}$ as a pair of spherical ions in contact to estimate $D_e$. [One debye (D) is $3.33564 \times 10^{-30} \mathrm{C} \mathrm{m}$.]",6.47 $\mathrm{eV}$, 4.56 $\mathrm{eV}$,5.23 $\mathrm{eV}$,3.89 $\mathrm{eV}$,B,scibench-quan
"For a macroscopic object of mass $1.0 \mathrm{~g}$ moving with speed $1.0 \mathrm{~cm} / \mathrm{s}$ in a one-dimensional box of length $1.0 \mathrm{~cm}$, find the quantum number $n$.",1$10^{26}$, 3$10^{26}$,8$10^{26}$,5$10^{26}$,B,scibench-quan
"For an electron in a certain rectangular well with a depth of $20.0 \mathrm{eV}$, the lowest energy level lies $3.00 \mathrm{eV}$ above the bottom of the well. Find the width of this well. Hint: Use $\tan \theta=\sin \theta / \cos \theta$",0.300 $\mathrm{~nm}$,0.150 $\mathrm{~nm}$, 0.264$\mathrm{~nm}$,0.200 $\mathrm{~nm}$,C,scibench-quan
"For the $\mathrm{H}_2$ ground electronic state, $D_0=4.4781 \mathrm{eV}$. Find $\Delta H_0^{\circ}$ for $\mathrm{H}_2(g) \rightarrow 2 \mathrm{H}(g)$ in $\mathrm{kJ} / \mathrm{mol}$",389.15 $\mathrm{~kJ} / \mathrm{mol}$,500.32 $\mathrm{~kJ} / \mathrm{mol}$,457.88 $\mathrm{~kJ} / \mathrm{mol}$, 432.07 $\mathrm{~kJ} / \mathrm{mol}$,D,scibench-quan
Frozen-core $\mathrm{SCF} / \mathrm{DZP}$ and CI-SD/DZP calculations on $\mathrm{H}_2 \mathrm{O}$ at its equilibrium geometry gave energies of -76.040542 and -76.243772 hartrees. Application of the Davidson correction brought the energy to -76.254549 hartrees. Find the coefficient of $\Phi_0$ in the normalized CI-SD wave function.,0.7421, 0.9731,0.8923,1.0125,B,scibench-quan
"Given that $D_e=4.75 \mathrm{eV}$ and $R_e=0.741 Å$ for the ground electronic state of $\mathrm{H}_2$, find $U\left(R_e\right)$ for this state.", -31.95 $\mathrm{eV}$,-28.57 $\mathrm{eV}$,-26.89 $\mathrm{eV}$,-34.12 $\mathrm{eV}$,A,scibench-quan
How many states belong to the carbon configurations $1 s^2 2 s^2 2 p^2$?,12,10,20, 15,D,scibench-quan
Let $w$ be the variable defined as the number of heads that show when two coins are tossed simultaneously. Find $\langle w\rangle$.,0.5,2,0, 1,D,scibench-quan
