" A typical roulette wheel used in a casino has 38 slots that are numbered $1,2,3, \ldots, 36,0,00$, respectively. The 0 and 00 slots are colored green. Half of the remaining slots are red and half are black. Also, half of the integers between 1 and 36 inclusive are odd, half are even, and 0 and 00 are defined to be neither odd nor even. A ball is rolled around the wheel and ends up in one of the slots; we assume that each slot has equal probability of $1 / 38$, and we are interested in the number of the slot into which the ball falls. Let $A=\{0,00\}$. Give the value of $P(A)$.",$\frac{2}{38}$,$\frac{1}{38}$,$\frac{1}{19}$,$\frac{36}{38}$,A,scibench-stat
" If $P(A)=0.8, P(B)=0.5$, and $P(A \cup B)=0.9$. What is $P(A \cap B)$?", 0.9,0.4,1.3,0.7,A,scibench-stat
" Of a group of patients having injuries, $28 \%$ visit both a physical therapist and a chiropractor and $8 \%$ visit neither. Say that the probability of visiting a physical therapist exceeds the probability of visiting a chiropractor by $16 \%$. What is the probability of a randomly selected person from this group visiting a physical therapist?
", 0.68,0.76,0.52,0.44,A,scibench-stat
"5.2- II. Evaluate
$$
\int_0^{0.4} \frac{\Gamma(7)}{\Gamma(4) \Gamma(3)} y^3(1-y)^2 d y
$$
(a) Using integration.", 0.1792,0.2569,0.1286,0.3456,A,scibench-stat
"5.2-13. Let $X_1, X_2$ be independent random variables representing lifetimes (in hours) of two key components of a
device that fails when and only when both components fail. Say each $X_i$ has an exponential distribution with mean 1000. Let $Y_1=\min \left(X_1, X_2\right)$ and $Y_2=\max \left(X_1, X_2\right)$, so that the space of $Y_1, Y_2$ is $ 0< y_1 < y_2 < \infty $
(a) Find $G\left(y_1, y_2\right)=P\left(Y_1 \leq y_1, Y_2 \leq y_2\right)$.
",0.4356,0.5789,0.5117 ,0.6123,C,scibench-stat
"5.2-5. Let the distribution of $W$ be $F(8,4)$. Find the following:
(a) $F_{0.01}(8,4)$.
",16.30,12.50,10.75, 14.80,D,scibench-stat
"5.2-9. Determine the constant $c$ such that $f(x)= c x^3(1-x)^6$, $0 < x < 1$ is a pdf.",420,1680,1050, 840,D,scibench-stat
"5.3-1. Let $X_1$ and $X_2$ be independent Poisson random variables with respective means $\lambda_1=2$ and $\lambda_2=3$. Find
(a) $P\left(X_1=3, X_2=5\right)$.
HINT. Note that this event can occur if and only if $\left\{X_1=1, X_2=0\right\}$ or $\left\{X_1=0, X_2=1\right\}$.",0.0213,0.0157, 0.0182,0.0125,C,scibench-stat
"5.3-13. A device contains three components, each of which has a lifetime in hours with the pdf
$$
f(x)=\frac{2 x}{10^2} e^{-(x / 10)^2}, \quad 0 < x < \infty .
$$
The device fails with the failure of one of the components. Assuming independent lifetimes, what is the probability that the device fails in the first hour of its operation? HINT: $G(y)=P(Y \leq y)=1-P(Y>y)=1-P$ (all three $>y$ ).", $0.03$,$0.05$,$0.01$,$0.02$,A,scibench-stat
"5.3-15. Three drugs are being tested for use as the treatment of a certain disease. Let $p_1, p_2$, and $p_3$ represent the probabilities of success for the respective drugs. As three patients come in, each is given one of the drugs in a random order. After $n=10$ ""triples"" and assuming independence, compute the probability that the maximum number of successes with one of the drugs exceeds eight if, in fact, $p_1=p_2=p_3=0.7$
",$0.0278$,$0.0542$,$0.0996$, $0.0384$,D,scibench-stat
"5.3-19. Two components operate in parallel in a device, so the device fails when and only when both components fail. The lifetimes, $X_1$ and $X_2$, of the respective components are independent and identically distributed with an exponential distribution with $\theta=2$. The cost of operating the device is $Z=2 Y_1+Y_2$, where $Y_1=\min \left(X_1, X_2\right)$ and $Y_2=\max \left(X_1, X_2\right)$. Compute $E(Z)$.
",$4$,$6$, $5$,$7$,C,scibench-stat
"5.3-3. Let $X_1$ and $X_2$ be independent random variables with probability density functions $f_1\left(x_1\right)=2 x_1, 0 < x_1 <1 $, and $f_2 \left(x_2\right) = 4x_2^3$ , $0 < x_2 < 1 $, respectively. Compute
(a) $P \left(0.5 < X_1 < 1\right.$ and $\left.0.4 < X_2 < 0.8\right)$.",$\frac{48}{125}$,$\frac{24}{125}$," $\frac{36}{125}$
",$\frac{30}{125}$,C,scibench-stat
