" Consider the transition between two forms of solid tin, $\mathrm{Sn}(s$, gray $) \rightarrow \mathrm{Sn}(s$, white $)$. The two phases are in equilibrium at 1 bar and $18^{\circ} \mathrm{C}$. The densities for gray and white tin are 5750 and $7280 \mathrm{~kg} \mathrm{~m}^{-3}$, respectively, and the molar entropies for gray and white tin are 44.14 and $51.18 \mathrm{~J} \mathrm{~K}^{-1} \mathrm{~mol}^{-1}$, respectively. Calculate the temperature at which the two phases are in equilibrium at 350. bar.",-7.8 $^{\circ} \mathrm{C}$, -3.5 $^{\circ} \mathrm{C}$,0.0 $^{\circ} \mathrm{C}$,5.2 $^{\circ} \mathrm{C}$,B,scibench-thermo
 One mole of Ar initially at 310 . K undergoes an adiabatic expansion against a pressure $P_{\text {external }}=0$ from a volume of $8.5 \mathrm{~L}$ to a volume of $82.0 \mathrm{~L}$. Calculate the final temperature using the ideal gas,330$\mathrm{~K}$, 310$\mathrm{~K}$,290$\mathrm{~K}$,350$\mathrm{~K}$,B,scibench-thermo
"$\mathrm{N}_2 \mathrm{O}_3$ dissociates according to the equilibrium $\mathrm{N}_2 \mathrm{O}_3(\mathrm{~g}) \rightleftharpoons \mathrm{NO}_2(\mathrm{~g})+\mathrm{NO}(\mathrm{g})$. At $298 \mathrm{~K}$ and one bar pressure, the degree of dissociation defined as the ratio of moles of $\mathrm{NO}_2(g)$ or $\mathrm{NO}(g)$ to the moles of the reactant assuming no dissociation occurs is $3.5 \times 10^{-3}$. Calculate $\Delta G_R^{\circ}$ for this reaction.", 28 $\mathrm{~kJ} \mathrm{~mol}^{-1}$,50 $\mathrm{~kJ} \mathrm{~mol}^{-1}$,35 $\mathrm{~kJ} \mathrm{~mol}^{-1}$,14 $\mathrm{~kJ} \mathrm{~mol}^{-1}$,A,scibench-thermo
"A camper stranded in snowy weather loses heat by wind convection. The camper is packing emergency rations consisting of $58 \%$ sucrose, $31 \%$ fat, and $11 \%$ protein by weight. Using the data provided in Problem P4.32 and assuming the fat content of the rations can be treated with palmitic acid data and the protein content similarly by the protein data in Problem P4.32, how much emergency rations must the camper consume in order to compensate for a reduction in body temperature of $3.5 \mathrm{~K}$ ? Assume the heat capacity of the body equals that of water. Assume the camper weighs $67 \mathrm{~kg}$.", 49 $\mathrm{~g}$,35 $\mathrm{~g}$,44 $\mathrm{~g}$,60 $\mathrm{~g}$,A,scibench-thermo
A cell is roughly spherical with a radius of $20.0 \times 10^{-6} \mathrm{~m}$. Calculate the work required to expand the cell surface against the surface tension of the surroundings if the radius increases by a factor of three. Assume the cell is surrounded by pure water and that $T=298.15 \mathrm{~K}$., 2.89 $10^{-9} \mathrm{~J}$,2.23 $10^{-9} \mathrm{~J}$,3.72 $10^{-9} \mathrm{~J}$,1.45 $10^{-9} \mathrm{~J}$,A,scibench-thermo
"A crude model for the molecular distribution of atmospheric gases above Earth's surface (denoted by height $h$ ) can be obtained by considering the potential energy due to gravity:
$$
P(h)=e^{-m g h / k T}
$$
In this expression $m$ is the per-particle mass of the gas, $g$ is the acceleration due to gravity, $k$ is a constant equal to $1.38 \times 10^{-23} \mathrm{~J} \mathrm{~K}^{-1}$, and $T$ is temperature. Determine $\langle h\rangle$ for methane $\left(\mathrm{CH}_4\right)$ using this distribution function.",1.2 $10^4 \mathrm{~m}$,2.5 $10^4 \mathrm{~m}$, 1.6 $10^4 \mathrm{~m}$,2.0 $10^4 \mathrm{~m}$,C,scibench-thermo
"A gas sample is known to be a mixture of ethane and butane. A bulb having a $230.0 \mathrm{~cm}^3$ capacity is filled with the gas to a pressure of $97.5 \times 10^3 \mathrm{~Pa}$ at $23.1^{\circ} \mathrm{C}$. If the mass of the gas in the bulb is $0.3554 \mathrm{~g}$, what is the mole percent of butane in the mixture?
",38 %, 32 %,25 %,45 %,B,scibench-thermo
A hiker caught in a thunderstorm loses heat when her clothing becomes wet. She is packing emergency rations that if completely metabolized will release $35 \mathrm{~kJ}$ of heat per gram of rations consumed. How much rations must the hiker consume to avoid a reduction in body temperature of $2.5 \mathrm{~K}$ as a result of heat loss? Assume the heat capacity of the body equals that of water and that the hiker weighs $51 \mathrm{~kg}$.,20 $\mathrm{~g}$,25 $\mathrm{~g}$, 15$\mathrm{~g}$,10 $\mathrm{~g}$,C,scibench-thermo
"A mass of $34.05 \mathrm{~g}$ of $\mathrm{H}_2 \mathrm{O}(s)$ at $273 \mathrm{~K}$ is dropped into $185 \mathrm{~g}$ of $\mathrm{H}_2 \mathrm{O}(l)$ at $310 . \mathrm{K}$ in an insulated container at 1 bar of pressure. Calculate the temperature of the system once equilibrium has been reached. Assume that $C_{P, m}$ for $\mathrm{H}_2 \mathrm{O}(l)$ is constant at its values for $298 \mathrm{~K}$ throughout the temperature range of interest.",298 $\mathrm{~K}$, 292$\mathrm{~K}$,305 $\mathrm{~K}$,280 $\mathrm{~K}$,B,scibench-thermo
A muscle fiber contracts by $3.5 \mathrm{~cm}$ and in doing so lifts a weight. Calculate the work performed by the fiber. Assume the muscle fiber obeys Hooke's law $F=-k x$ with a force constant $k$ of $750 . \mathrm{N} \mathrm{m}^{-1}$.,0.25 $\mathrm{~J}$,0.75 $\mathrm{~J}$,0.60 $\mathrm{~J}$, 0.46$\mathrm{~J}$,D,scibench-thermo
"A refrigerator is operated by a $0.25-\mathrm{hp}(1 \mathrm{hp}=$ 746 watts) motor. If the interior is to be maintained at $4.50^{\circ} \mathrm{C}$ and the room temperature on a hot day is $38^{\circ} \mathrm{C}$, what is the maximum heat leak (in watts) that can be tolerated? Assume that the coefficient of performance is $50 . \%$ of the maximum theoretical value. What happens if the leak is greater than your calculated maximum value?",710 $\mathrm{~J} \mathrm{~s}^{-1}$,893 $\mathrm{~J} \mathrm{~s}^{-1}$,650 $\mathrm{~J} \mathrm{~s}^{-1}$, 773 $\mathrm{~J} \mathrm{~s}^{-1}$,D,scibench-thermo
"A system consisting of $82.5 \mathrm{~g}$ of liquid water at $300 . \mathrm{K}$ is heated using an immersion heater at a constant pressure of 1.00 bar. If a current of $1.75 \mathrm{~A}$ passes through the $25.0 \mathrm{ohm}$ resistor for 100 .s, what is the final temperature of the water?",310$\mathrm{~K}$,345$\mathrm{~K}$,335$\mathrm{~K}$, 322$\mathrm{~K}$,D,scibench-thermo
A two-level system is characterized by an energy separation of $1.30 \times 10^{-18} \mathrm{~J}$. At what temperature will the population of the ground state be 5 times greater than that of the excited state?,7.62 $10^4$, 5.85 $10^4$,3.74 $10^4$,6.48 $10^4$,B,scibench-thermo
"A vessel contains $1.15 \mathrm{~g}$ liq $\mathrm{H}_2 \mathrm{O}$ in equilibrium with water vapor at $30 .{ }^{\circ} \mathrm{C}$. At this temperature, the vapor pressure of $\mathrm{H}_2 \mathrm{O}$ is 31.82 torr. What volume increase is necessary for all the water to evaporate?
",45.2 $\mathrm{~L}$,25.7 $\mathrm{~L}$,32.5 $\mathrm{~L}$, 37.9$\mathrm{~L}$,D,scibench-thermo
"A vessel is filled completely with liquid water and sealed at $13.56^{\circ} \mathrm{C}$ and a pressure of 1.00 bar. What is the pressure if the temperature of the system is raised to $82.0^{\circ} \mathrm{C}$ ? Under these conditions, $\beta_{\text {water }}=2.04 \times 10^{-4} \mathrm{~K}^{-1}$, $\beta_{\text {vessel }}=1.42 \times 10^{-4} \mathrm{~K}^{-1}$, and $\kappa_{\text {water }}=4.59 \times 10^{-5} \mathrm{bar}^{-1}$.",105.2 $\mathrm{bar}$,81.7 $\mathrm{bar}$,78.9 $\mathrm{bar}$, 93.4$\mathrm{~bar}$,D,scibench-thermo
