"In a population of giraffes, an environmental change occurs that favors individuals that are tallest. As a result, more of the taller individuals are able to obtain nutrients and survive to pass along their genetic information. This is an example of",Artificial selection.,Founder effect.,stabilizing selection.,Intrasexual selection.,sexual selection.,Kin selection.,Genetic drift.,Bottleneck effect.,disruptive selection.,directional selection.,J,ori_mmlu-high_school_biology
Which of the changes below following the start codon in an mRNA would most likely have the greatest deleterious effect?,a deletion of a nucleotide triplet,a deletion of a nucleotide doublet,"a multiple nucleotide substitution in the first, second, and third codon positions",a single nucleotide insertion after the first codon position,a single nucleotide substitution of the nucleotide occupying the first codon position,a double nucleotide substitution in the first and second codon positions,a deletion of a single nucleotide,a single nucleotide substitution of the nucleotide occupying the third codon position,a deletion of a quadruplet of nucleotides,a single nucleotide substitution of the nucleotide occupying the second codon position,G,ori_mmlu-high_school_biology
The energy given up by electrons as they move through the electron transport chain is used to,produce ATP,create carbon dioxide,make FADH2,synthesize proteins,make glucose,produce water,break down ATP,produce ADP,make NADH,break down glucose,A,ori_mmlu-high_school_biology
"During the period when life is believed to have begun, the atmosphere on primitive Earth contained abundant amounts of all the following gases EXCEPT",hydrogen,methane,nitrogen,sulfur dioxide,neon,oxygen,helium,argon,ammonia,carbon dioxide,F,ori_mmlu-high_school_biology
Convergent evolution is best exemplified by which of the following?,The gills of a fish and the lungs of a human,The leaves of an oak tree and the spines of a cactus,The eyes of a human and the eyes of a squid,The roots of a tree and the legs of an animal,The presence of a notochord in all chordate embryos,The beak of a bird and the teeth of a mammal,The pectoral fins of fish and the front legs of cats,The wings of an insect and the wings of a bird,The fur of a bear and the scales of a fish,The trunk of an elephant and the neck of a giraffe,H,ori_mmlu-high_school_biology
Which of the following would most likely provide examples of mitotic cell divisions?,cross section of a root tip,cross section of muscle tissue,cross section of a stem,longitudinal section of a shoot tip,longitudinal section of a leaf vein,cross section of a fruit,cross section of a leaf,longitudinal section of a petal,longitudinal section of a seed,cross section of an anther (site of pollen production in a flower),D,ori_mmlu-high_school_biology
"In a hypothetical environment, fishes called pike-cichlids are visual predators of algae-eating fish (i.e., they locate their prey by sight). If a population of algae-eaters experiences predation pressure from pike-cichlids, which of the following should least likely be observed in the algae-eater population over the course of many generations?","Selection for larger female algae-eaters, bearing broods composed of more, and larger, young",Selection for drab coloration of the algae-eaters,Selection for algae-eaters that reproduce more frequently,Selection for algae-eaters with smaller eyes,Selection for algae-eaters that become sexually mature at smaller overall body sizes,Selection for algae-eaters that can camouflage with algae,Selection for algae-eaters that feed on a different type of algae,Selection for nocturnal algae-eaters (active only at night),Selection for algae-eaters with faster swimming speeds,Selection for algae-eaters that can burrow in the sand,A,ori_mmlu-high_school_biology
"The same gene that causes various coat patterns in wild and domesticated cats also causes the cross-eyed condition in these cats, the cross-eyed condition being slightly maladaptive. In a hypothetical environment, the coat pattern that is associated with crossed eyes is highly adaptive, with the result that both the coat pattern and the cross-eyed condition increase in a feline population over time. Which statement is supported by these observations?",Genetic mutations causing the coat pattern are more likely to occur in this population.,Natural selection always results in the elimination of maladaptive traits.,"Polygenic inheritance is generally maladaptive, and should become less common in future generations.",This scenario disproves the theory of evolution.,The cross-eyed condition is actually an adaptive trait in this environment.,The coat pattern gene and the cross-eyed condition gene are separate and unrelated.,Phenotype is often the result of compromise.,Evolution is progressive and tends toward a more perfect population.,Natural selection reduces the frequency of maladaptive genes in populations over the course of time.,The cross-eyed condition will eventually disappear from the population as it is maladaptive.,G,ori_mmlu-high_school_biology
Which of the following statements is correct?,Smaller DNA fragments migrate more rapidly than do larger DNA fragments on gel electrophoresis.,Germinating seeds use less oxygen than do nongerminating seeds.,Water flows from hypotonic to hypertonic.,The rate of transpiration decreases with an increase in air movement.,The rate of photosynthesis decreases with an increase in light intensity.,Non-germinating seeds require more water than germinating seeds.,Larger DNA fragments migrate more rapidly than do smaller DNA fragments on gel electrophoresis.,Water flows from hypertonic to hypotonic.,Germinating seeds use more carbon dioxide than do nongerminating seeds.,The rate of respiration decreases with an increase in temperature.,A,ori_mmlu-high_school_biology
Which of the following statements about lipids is correct?,Lipids are the primary source of energy for cellular processes.,Lipids are soluble in water but insoluble in organic solvents.,Phospholipids are water soluble.,Steroids are lipids that consist of glycerol and fatty acids.,Lipids make up most cell surface receptors.,Lipids are primarily composed of proteins and carbohydrates.,All lipids have a similar structure and function in the body.,Lipids are incapable of crossing cell membranes.,All lipids are solid at room temperature.,Unsaturated fatty acids are linked to heart disease.,C,ori_mmlu-high_school_biology
