Mass-society theory suggests that:,the subordinate classes are dominated by the ideology of the ruling class,the media serves as a platform for the masses to voice their opinions,"the media manipulate 'the masses' as vulnerable, passive consumers",audiences make selective interpretations of media messages,the content of the media is determined by market forces,the media's sole purpose is to disseminate information impartially,the masses manipulate the media through their consumption patterns,the dominant classes are influenced by the ideologies of the subordinate class,the media is independent of societal influences,the content of the media is solely determined by government censorship,C,ori_mmlu-sociology
The ecological approach to urban sociology involved studying:,the impact of city infrastructure on the local ecosystem,how men and women used the city's public spaces differently,the way in which people organized collective protests about environmental issues,the rate of pollution in different parts of the city,how urbanization affects the local climate,the forms of wildlife and natural habitats that could be found on the edges of the city,the relationship between city size and biodiversity,the influence of architecture on animal populations in the city,how social groups colonized different areas of the city and competed for resources,the effects of city planning on water systems and green spaces,I,ori_mmlu-sociology
Becker proclaimed that cannabis use was:,a dangerous pastime that young people should not be allowed to pursue,a behavior that could be easily unlearned with proper guidance,a gateway drug that leads to use of harder substances,not as enjoyable as other sociologists had suggested,increasing throughout all sections of youth in the 1970s,decreasing in popularity among youth in the 1970s,learned gradually through the social processes of a deviant career,something that should be strictly regulated by the government,a healthy alternative to alcohol and other dangerous substances,a form of rebellion against societal norms,G,ori_mmlu-sociology
The middle classes that developed over the nineteenth century were:,Uniform in their beliefs and values,too diverse to have a strong sense of class consciousness,Entirely homogeneous in their composition and interests,Predominantly involved in 'blue collar' work,all of the above,Largely alienated from civic bodies and voluntary associations,"an urban set, involved in civic bodies and voluntary associations",Primarily rural and agrarian in nature,often involved in 'white collar' work,Generally uninvolved in any form of work,E,ori_mmlu-sociology
Technological forms of surveillance have made it easier to:,enhance the performance of online gaming systems,monitor classroom behavior in schools,access and exchange 'private' information about consumers,reduce prison overcrowding by the use of electronic tagging,increase the efficiency of online banking systems,monitor employees' activities at work,improve the quality of online video streaming,limit internet usage in public spaces,prevent the spread of false information on social media,all of the above,J,ori_mmlu-sociology
There was a growth in income inequality in the 1980s because:,inflation rate was higher than the growth rate of wages,the price of consumer goods rose at a higher rate than earnings,the government introduced policies favouring the rich,rates of income tax increased equally for all occupational groups,the cost of living decreased while wages remained the same,growing unemployment made more people dependent on welfare benefits,there was a surge in the number of low-paying jobs,there were more professional jobs available but not enough people to fill them,there was a decrease in the number of high-paying jobs,the minimum wage was significantly lowered,F,ori_mmlu-sociology
"In the debate about the 'managerial revolution', John Scott (1997) argued that:",managers were becoming dissatisfied with their working conditions and planned to overthrow the owners of businesses,owners still exercised control through groups of shareholders and interlocking directorships,ownership and management were becoming increasingly separate functions,"the managerial revolution was a myth, as owners still held the majority of power in businesses",managers were planning to unionize to negotiate better working conditions,the principles of scientific management were universally applicable,management was becoming increasingly dependent on shareholders,the techniques of scientific management were overly bureaucratic and inefficient,owners and managers were merging into a single role within businesses,owners were losing control over their businesses due to increasing management autonomy,B,ori_mmlu-sociology
Marxist feminists explain patriarchy in terms of:,women's economic dependence on men,the dual systems of capitalism and male domination,the capitalist system being inherently biased against women,the control of means of production by men,the exploitation of women's emotional labour by the capitalist system,societal norms and traditions that favour men,"sex classes, through which men oppress women economically, politically and sexually",the inherent biological differences between men and women,a lack of equal rights and opportunities for men and women,women's domestic labour being exploited by the capitalist economy,J,ori_mmlu-sociology
Butler & Stokes (1969) suggested that working class support for the Labour Party arose from:,rational calculation of self-interest,socialization into working class families and communities,the influence of trade unions and worker rights movements,influence from upper-class ideals and perspectives,the impact of the local political landscape and voting habits,a desire to conform to societal norms and expectations,false consciousness and the acceptance of hegemonic values,lack of exposure to other political ideologies,issue-based concerns about culture and lifestyle,dissatisfaction with the performance of other political parties,B,ori_mmlu-sociology
"The four ideal types of social action that Weber identified were as follows: instrumentally-rational, value-rational, traditional, and...",normatively-rational,traditionally-rational,practically-rational,effective,intuitively-rational,affectively-rational,infected,emotionally-rational,affectual,affective,I,ori_mmlu-sociology
An ecclesia is:,a hierarchy of priests or other spiritual leaders,a sect or cult with a very small following,"a large, mainstream religious organization with many branches or subdivisions",a group of religious believers who meet regularly for worship,a religious organization that practices in secret,a religious organization that excludes people of other beliefs,a religious organization that requires a strict code of conduct for its members,a religious group that has broken away from a larger denomination,a religious organization that claims total spiritual authority over its members,a church organized around voluntary rather than compulsory membership,I,ori_mmlu-sociology
"After slavery was abolished in the USA and British Empire, policy makers claimed that former slaves migrating to these cities would experience:",assimilation,discrimination,marginalization,compensation,emancipation,alienation,adaptation,deportation,segregation,integration,A,ori_mmlu-sociology
Which of the following policies did the New Labour government not pursue?,supporting LEAs that appeared to be failing,abolition of student tuition fees,privatization of state schools,state regulation and control of the curriculum,requiring all schools to provide vocational training,implementing a national dress code for teachers,setting and streaming pupils by ability,introduction of league tables and competition among schools,eliminating standardized testing,parental choice of school,A,ori_mmlu-sociology
"In their study of depression, Brown & Harris (1978) found that:",men and women have fairly similar levels of diagnosed depression,depression is less likely in individuals with high levels of social support regardless of gender,women's susceptibility to stress depended on their levels of social support,men and women have drastically different levels of diagnosed depression,men's susceptibility to stress depended on their levels of social support,depression is more common in women due to hormonal differences,women are more prone to depression due to societal pressures,men are more vulnerable to depression because of conventional gender roles,self-reported depression is highest amongst women and the economically disadvantaged,self-reported depression is highest amongst men and the relatively affluent,C,ori_mmlu-sociology
The alternative form of 'network organization' means that:,the company operates solely through social media platforms,"the company does not have a physical office, all tasks are performed online",each department works independently with no interaction with other departments,work can be subcontracted out to independent suppliers and retailers,all employees work remotely from different locations,business transactions occur only through electronic communication,the company has multiple branch offices in different cities or countries,"there is no hierarchy, everyone is at the same level","the Japanese model is applied, through lateral networks of flexible roles",activities are redistributed equally between men and women,D,ori_mmlu-sociology
Margaret Mead suggested that:,cultural norms have no influence on adolescence and gender roles,gender roles in three New Guinea societies were identical and so must be biologically determined,anthropological fieldwork is completely objective and unbiased,anthropological fieldwork can be problematic because the researcher's values affect the way they interpret their observations,gender roles are universally identical and biologically determined,every society has the same adolescence experience,adolescence and gender roles varied between societies and so were culturally determined,there are no variations in gender roles and adolescence across different cultures,adolescence in the USA is a time of relative calm compared to the experience in Japan and Europe,adolescence is universally a time of turmoil and confusion,G,ori_mmlu-sociology
Weber said that the 'spirit of capitalism' could be traced back to:,the movement towards religious pluralism,inspirational Protestant groups who revived religious ideas,the fall of feudalism and the rise of industrialism,the introduction of paper currency in the Middle Ages,new religious movements who rejected traditional forms of labour,the spread of secularism in modern society,Calvinists who engaged in ascetic practices to gain signs of salvation,the expansion of trade during the Renaissance,the development of the scientific method during the Enlightenment,the birth of democracy in ancient Greece,G,ori_mmlu-sociology
Seven people standing silently while waiting for a bus at a bus stop is an example of which of the following?,A secondary group,A social category,A social network,An out-group,A formal organization,An in-group,A reference group,A peer group,A primary group,An aggregate,J,ori_mmlu-sociology
Chodorow (1978) argued that gender socialization occurred through:,"both boys and girls being closely attached to their parents, but then girls breaking away","both boys and girls being closely attached to their fathers, but then boys breaking away","both boys and girls being closely attached to their fathers, but girls breaking away",girls being attached to their mothers but then breaking away,"both boys and girls being closely attached to their mothers, but then boys breaking away","boys being closely attached to their mothers, with girls breaking away",boys being attached to their mothers but then breaking away,both boys and girls being closely attached to their siblings,boys being attached to their fathers and girls to their mothers,girls being attached to their fathers and boys to their mothers,E,ori_mmlu-sociology
The 'new man' of the 1980s was alleged to be:,"an environmentalist, concerned about climate change","laddish, aggressive, and violent","a globetrotter, traveling the world for work and pleasure",openly bisexual and proud of it,politically active and involved in social issues,"sensitive, caring, and emotional",a strong and dependable breadwinner,"a workaholic, prioritizing career over family",a tech-savvy early adopter of new technologies,focused on physical fitness and bodybuilding,F,ori_mmlu-sociology
"In the 1960s, comprehensive schools did not eradicate class inequalities in education because:","selective schools could still 'cream off' the most able pupils, while the comprehensives put children into ability streams","the comprehensive schools did not have the capacity to accommodate all students, leading to overcrowding and reduced quality of education","the comprehensive schools were mostly located in affluent neighborhoods, limiting access for working class students",national testing and league tables made the new schools highly competitive and selective,"teachers in comprehensive schools used the restricted code in the classroom, whereas working class pupils used elaborated codes of speech",the segregation between working class and middle class in comprehensive schools was still very apparent,they tended to recruit pupils from the inner cities and traditionally working class areas,comprehensive schools did not have sufficient funding to provide quality education to all students,the transition from selective schools to comprehensive was not fully implemented during the 1960s,"comprehensive schools did not offer advanced courses, limiting the educational opportunities for gifted students",A,ori_mmlu-sociology
"A major car accident occurs. One man stops his car and starts helping people. After seeing him stop, others also stop and start helping. Which of the following theories best explains the scenario?",Self-fulfilling Prophecy,Social Identity,Cognitive Dissonance,Convergence,Emergent-norm,Deindividuation,Value-added,Social Facilitation,Bystander Effect,Contagion,E,ori_mmlu-sociology
Pluralist theories suggest that:,political parties must compete for the votes of 'consumers' in the electorate,political parties are primarily focused on maintaining power rather than serving the electorate,the state's power is primarily exercised through a centralized administrative structure,the state is neutral and serves all interest groups equally,there is a direct correlation between wealth and political power,the ruling elite is composed of people from various class backgrounds,the ruling elite is composed solely of individuals from high class backgrounds,power is concentrated in the hands of a few elite individuals or groups,there is a close alignment between class background and party preference,the state's power can be exercised through several different administrative structures,A,ori_mmlu-sociology
"According to Hakim (1995, 1996), the majority of part-time work is done by women because:",full time work is not available in the kinds of occupations that they want to enter,women prefer part-time work as it provides a better work-life balance,"part-time work offers more flexible hours, allowing women to manage their domestic responsibilities",they make a rational choice to combine employment with their 'home-centred' lives,women prefer the less demanding nature of part-time work,"their choices are constrained by structural factors, such as being unable to afford childcare",employers prefer to hire women for part-time positions due to societal stereotypes,part-time work allows women to have more time for personal development and hobbies,there are more part-time job opportunities available for women,part-time jobs pay relatively high wages and so are financially beneficial,D,ori_mmlu-sociology
A sect is organised around:,"belief in the afterlife, individual interpretation of scripture, and weekly gatherings","beliefs that can be challenged by members, a charismatic leader, and openness to new recruits","hierarchical structure, a pope as the head, and a closed canon of scripture","strict rules, a single leader, and exclusion of non-members",tolerance towards other religions and the separation of church and state,"acceptance of all beliefs, lack of leadership, and focus on personal growth","worship of a specific deity, regular rituals, and mandatory tithes","voluntary membership, democratic leadership, and high levels of emotional commitment",the idea of the secular world itself as being sacred,"a single holy book, a rigid moral code, and a closed community",H,ori_mmlu-sociology
Pre-testing a questionnaire is useful for:,Testing the respondent's knowledge in the subject area,finding out which topics are important to the respondents,Assessing the cost of the research study,Determining the respondents' favorite questions,testing out your computer and printer,deciding which respondents to leave out of the final sample,Determining the length of time it takes to complete the questionnaire,Predicting the final results of the study,Choosing the color scheme for the questionnaire,identifying any problems with the question wording and routing,J,ori_mmlu-sociology
"Religious organizations such as the Church of Norway, Islam, the Church of England, and the Church of Greece have which of the following characteristics in common?",They are primarily based in Europe.,They are monotheistic.,They all practice infant baptism.,They all have a hierarchical church structure.,They are cultures as well as churches.,They believe in reincarnation.,They all observe the Sabbath on Saturday.,They prohibit the use of religious icons.,They practice separation of church and state.,They exclude women as clergy.,B,ori_mmlu-sociology
