The main factor preventing subsistence economies from advancing economically is the lack of,a healthcare system.,international trade agreements.,a well-connected transportation infrastructure.,internet access.,a stock exchange.,a currency.,government activity.,professional sports teams.,a well-established education system.,a banking service.,C,ori_mmlu-high_school_geography
The tendency for a population to continue to grow long after replacement fertility has been achieved is called,homeostatic plateau.,demographic imbalance.,population inertia.,demographic momentum.,rapid growth rate.,population momentum.,zero population growth.,fertility transition.,fertility momentum.,demographic transition.,D,ori_mmlu-high_school_geography
The tendency for migration to decrease with distance is called,push factors.,geographic isolation.,migration diffusion.,spatial distribution.,distance decay.,demographic transition.,pull factors.,gravity model.,migration selectivity.,friction of distance.,E,ori_mmlu-high_school_geography
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form?",Outermost,Innermost,Third,First,Transitional,Fifth,Middle,Fourth,Second,Sixth,D,ori_mmlu-high_school_geography
Which of the following statements is TRUE concerning women in the labor force?,The percentage of women in the total labor force declined,Women are equally represented in all sectors of the labor force,Most women work in agriculture,The percentage of women in the labor force is highest in Western Europe,Women spend more hours per day working than men in all regions except Anglo America and Australia,Most women in the labor force work part-time,The percentage of women economically active in the labor force declined worldwide,Women are less likely to work overtime than men,The percentage of women in the labor force is lower in developed countries than in developing countries,Women are less likely to hold managerial or executive positions than men,E,ori_mmlu-high_school_geography
All the following factors can be considered pull factors of migration EXCEPT,better healthcare.,job opportunities.,better schools.,overcrowding.,war.,political freedom.,natural disasters.,safety.,better climate.,lower taxes.,D,ori_mmlu-high_school_geography
Which of the following countries does NOT have a well-known example of a relict boundary?,United Kingdom,Vietnam,Bolivia,South Africa,Germany,France,Australia,China,Russia,Canada,C,ori_mmlu-high_school_geography
Which of the following is a centrifugal force in a country?,Political stability,Geographical unity,A strong economy,An attack by another country,A charismatic national leader,A popular national sport,Shared historical experiences,A common language,Religious differences,A national holiday,I,ori_mmlu-high_school_geography
The first stage of the demographic transition exhibits,low birth rates with declining death rates.,low birth rates with continuing high death rates.,high birth rates with steady death rates.,steadily declining birth rates with high death rates.,high birth rates with declining death rates.,fluctuating birth rates with fluctuating death rates.,declining birth rates with continuing high death rates.,fluctuating birth rates with high death rates.,high birth rates with high but fluctuating death rates.,low birth rates with low but fluctuating death rates.,I,ori_mmlu-high_school_geography
What is the most rapidly growing religion in the United States today?,Wicca,Buddhism,Baha'i,Sikhism,Jainism,Atheism,Christianity,Judaism,Islam,Hinduism,I,ori_mmlu-high_school_geography
The best definition of an urban area is,the central city and its peripheral towns.,the central city and the adjacent counties.,the central city and the nearby forests.,the central city and its surrounding rural areas.,the central city and its surrounding beach areas.,the central city and its surrounding suburbs.,the central city and its nearby industrial zones.,the central city and its developed areas.,the central city and its hinterlands.,the central city and its undeveloped areas.,F,ori_mmlu-high_school_geography
Which of the following religions developed first?,Confucianism,Zoroastrianism,Buddhism,Hinduism,Sikhism,Shinto,Judaism,Islam,Taoism,Christianity,D,ori_mmlu-high_school_geography
The latitude and longitude coordinates of a place are an example of,an arbitrary location.,a relative region.,a functional region.,a topographic location.,a formal region.,a relative location.,a nominal location.,an absolute location.,a geospatial location.,a geographical region.,H,ori_mmlu-high_school_geography
The key factor Thomas Malthus failed to recognize in his population theory was,the role of education in controlling population growth.,the influence of government policies on population control.,the influence of climate change on population sustainability.,the effect of migration on population distribution.,population is limited by their means of subsistence.,wars and famine inhibit population's reproductive capacity.,all populations have the potential to increase more than the actual rate of increase.,technology's ability to raise the Earth's carrying capacity.,the impact of natural disasters on population growth.,the impact of disease outbreaks on population size.,H,ori_mmlu-high_school_geography
Which pair of religions are both universalizing religions?,Christianity and Buddhism,Taoism and Shinto,Judaism and Buddhism,Hinduism and Buddhism,Islam and Sikhism,Taoism and Islam,Shinto and Hinduism,Sikhism and Judaism,Islam and Judaism,Zoroastrianism and Judaism,A,ori_mmlu-high_school_geography
Which urban model theorizes that high-rent residential areas grow outward from the center of the city along major highways with lower-rent inhabitants taking over sequentially?,Star model,Ribbon development model,Urban realms model,Sector model,Concentric zone model,Urban sprawl model,Core-periphery model,Multiple nuclei model,Matrix model,Central place model,D,ori_mmlu-high_school_geography
"A population pyramid, or age-sex structure, displays all the following information about a country's population EXCEPT",the impact of wars on the population.,the literacy rate of the population.,a quick visual depiction of the country's demographics.,the ethnic diversity of the population.,the average life expectancy of the population.,the religion distribution within the population.,the country's economic status.,the potential for political instability.,future social spending needs of the population.,"the impact of ""baby booms"" on the population.",J,ori_mmlu-high_school_geography
The majority of workers in periphery countries are probably employed in which type of activities?,Quaternary,Quinary,Senary,Septenary,Tertiary,Industrial,Informal sector activities,None of the above,Secondary,Primary,J,ori_mmlu-high_school_geography
All of the following are non-basic jobs in the city EXCEPT,local bookstore owner.,restaurant server.,city bus driver.,school teacher.,dry cleaner.,local grocery store owner.,city firefighter.,garment factory worker.,city mayor.,social worker.,H,ori_mmlu-high_school_geography
Which of the following is LEAST associated with the development of alluvial landscapes?,A deep cover of loose materials,Abundance of wildlife,High levels of precipitation,Deep dissection and erosion,The presence of glaciers,Mountainous terrain,Frequent flooding,A predominance of gentle slopes,The presence of large bodies of water,Volcanic activity,D,ori_mmlu-high_school_geography
Which of the following is LEAST self-sufficient in the natural resources needed for modern industry?,Japan,Canada,Australia,France,Brazil,China,United Kingdom,Germany,United States,Russia,A,ori_mmlu-high_school_geography
One of the effects of the east–west orientation of the Alpine mountain system and the northern plains of western and central Europe is that it,prevents any form of communication between eastern and western Europe,provides a corridor for communication between southern and northern Europe,results in extremely harsh winters in the northern plains of Europe,limits the marine climate of Europe to coastal areas,leads to a tropical climate in western and central Europe,allows for the cultivation of Mediterranean crops in northern Europe,causes a desert-like climate in the Alpine mountain system,creates a barrier that prevents animal migration from north to south,enables marine-like climatic conditions to extend eastward into Germany and Poland,effectively prevents population movement between parts of the Mediterranean region,I,ori_mmlu-high_school_geography
The largest Hindu temple complex ever constructed is found in,Vietnam.,Sri Lanka.,Bali.,Thailand.,Bombay.,Cambodia.,Java.,Delhi.,Nepal.,Calcutta.,F,ori_mmlu-high_school_geography
Which of the following could be considered a higher-order central place function?,Community park,Mercedes-Benz dealership,Fast food restaurant,Family doctor,Winn-Dixie grocery store,Public library,Shoe store,High school,Local bakery,Local post office,B,ori_mmlu-high_school_geography
"To get to school in the morning, we ALL use this as our guide:",mental map.,verbal directions.,road map.,star navigation.,world globe.,physical landmarks.,GPS device.,Rand-McNally Road Atlas.,compass.,smartphone navigation app.,A,ori_mmlu-high_school_geography
"Of these, the map using the smallest map scale would be the map of",The Pacific Ocean.,The United States.,Europe.,"Atlanta, Georgia.",Pennsylvania.,the world.,North America.,New York City.,"Main Street, Small Town, Ohio.",Texas.,F,ori_mmlu-high_school_geography
Which of the following jobs is in the non-basic employment sector?,Parking lot attendant,Commercial airline pilot,Chemical plant operator,Oil refinery worker,Restaurant waiter,F-10 pickup truck assembly-line worker,Medical researcher,Aerospace engineer,Software engineer,Agriculture technician,A,ori_mmlu-high_school_geography
Which of the following U.S. main immigration flow associations is NOT correct?,1870–1914—Eastern and southern Europeans,Pioneer settlement to 1870—Hispanics,1965–present—Africans,"Pioneer settlement to 1870—Germans, British, Scotch-Irish, Africans","1870–1914—Germans, British, Scotch-Irish",1965–present—Hispanics,1870–1914—Scandinavians,1870–1914—Asians,Pioneer settlement to 1870—Asians,1965–present—Eastern and southern Europeans,H,ori_mmlu-high_school_geography
Which one of the statements below is characteristic of most African cities?,They have three separate business districts.,There are jobs for most rural-to-urban migrants.,They have extensive public transportation systems.,They have a well-regulated housing market.,They have a well-developed infrastructure.,They have a low cost of living.,They have a low rate of urbanization.,They have high-rise buildings in most parts of the city.,Their population is predominantly of European descent.,"They have thriving, clean residential areas.",A,ori_mmlu-high_school_geography
Which country faces a serious trade disadvantage due to its location?,Canada,Japan,Germany,Australia,Mongolia,Brazil,Italy,Singapore,Spain,United States,E,ori_mmlu-high_school_geography
"In which zone of Burgess's concentric zone model would one find better houses, single-family homes, and higher-rent apartments?",Central Business District,Fifth,Second,Fourth,Sixth,Innermost,Third,First,Outermost,Industrial Zone,G,ori_mmlu-high_school_geography
Which of the following would NOT be considered a barrier to diffusion of a cultural trait?,Mountain ranges,Oceans,Cultural exchange programs,Advanced transportation systems,Religion,Tolerant complaisant citizens,Distance,Dense forests,Language,Open-minded local government,F,ori_mmlu-high_school_geography
