What is the structure of the United Nations Security Council?,"5 permanent members without veto power, 10 rotating members with veto power","15 rotating members, none with veto power","10 permanent members with veto power, and 5 rotating members without veto power","15 members, all with veto power","20 members, 10 permanent with veto power, 10 rotating without veto power","10 permanent members without veto power, 5 rotating members with veto power","5 permanent members with veto power, 10 rotating members with no veto power",15 permanent members with veto power,"7 permanent members with veto power, 8 rotating members without veto power","5 permanent members and 10 rotating members, all with veto power",G,ori_mmlu-us_foreign_policy
What was the significance of the Gulf of Tonkin resolution?,It triggered a global protest against US involvement in Vietnam,It resulted in a significant reduction of US troops in Vietnam,It allowed the US to intensify its involvement in Vietnam,It illustrated the influence of public opinion on US foreign policy,It marked the beginning of diplomatic negotiations with Vietnam,It enhanced Congressional control over the Vietnam War,It curtailed US involvement in Vietnam,It established the neutrality of the United States in the Vietnam War,It isolated the US from its allies during the Vietnam War,It led to the immediate end of the Vietnam War,C,ori_mmlu-us_foreign_policy
Which is not a nonstate actor that poses a threat to the United States?,Multinational corporations,Hackers,Terrorists,Organized crime,China,Local militias,Drug traffickers,Canada,Pirates,Non-governmental organizations,E,ori_mmlu-us_foreign_policy
Who was the first American president to visit communist China?,Richard Nixon,John F. Kennedy,Dwight D. Eisenhower,Jimmy Carter,Lyndon B. Johnson,George H. W. Bush,Bill Clinton,Gerald Ford,Ronald Reagan,George W. Bush,A,ori_mmlu-us_foreign_policy
The Strategic Arms Reduction Treaty was the first accord,mandating the elimination of chemical weapons.,focused on reducing short-range nuclear weapons.,promoting the denuclearization of North Korea.,focused on reducing nuclear submarines.,on nuclear weapons signed between the United States and the Soviet Union.,mandating the elimination of many long-range nuclear missiles.,cutting conventional arms in Europe.,signed between the United States and China.,to be rejected by the U.S. Senate.,that allowed the inspection of military bases.,F,ori_mmlu-us_foreign_policy
Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s?,All of the above,He wanted to focus on strengthening the economy after the Great Depression,He believed that German domination of Europe would be in US interests,He believed that the European conflicts were not America's concern,He believed that the US could benefit from staying neutral and trading with both sides,He thought that America was not ready for another war,He was under pressure from the Congress to maintain neutrality,He was wary of the potential cost and casualties of war,He believed that internal reform rather than international negotiation was the key to economic regeneration of the US,He always favoured isolationism,I,ori_mmlu-us_foreign_policy
What was the 'New Populism'?,Increased incorporation of public opinion in foreign policy making,A shift towards more conservative economic policies,A resurgence of traditionalist values and practices,A strand of internationalist sentiment,A trend of increased militarism,An expression of American economic superiority,A strand of neo-isolationist sentiment,A renewed focus on domestic issues and local politics,A movement promoting direct democracy,An expression of American cultural superiority,G,ori_mmlu-us_foreign_policy
What was unique about the NATO intervention in Kosovo?,It was the first time the US became involved in the Balkans,It was the first war won by airpower alone,It was the first war where NATO suffered no casualties,It was the first war in which NATO used drones,It was the first time NATO intervened without UN approval,It was the first time NATO used military force,It was the first war to employ 'smart weapons',It was the first time NATO was involved in a civil war,It was the first time NATO intervened in a non-member state,It was the first war where NATO used cyber warfare,B,ori_mmlu-us_foreign_policy
Why do Liberal Internationalists argue that international institutions are important to US grand strategy?,The US is incapable of acting alone,They help the US to avoid war and conflict,They offer the US a chance to rebuild its image after any diplomatic mishaps,They provide a platform for the US to dictate global rules,They allow the US to withdraw from the international arena,They hinder the US's global dominance,They serve American interests,They limit the power of the US in the international arena,None of the above,They allow for the US to transfer its responsibilities to other nations,G,ori_mmlu-us_foreign_policy
What was the significance of the Truman Doctrine?,It outlined Truman's plan for economic recovery after World War II,It led to the establishment of the United Nations,It indicated that the US would now view all local revolts through a geopolitical lens,It was a declaration of war against the Soviet Union,It indicated the special place of Greece and Turkey in American interests,It signaled the US's withdrawal from international affairs,It marked the beginning of the Space Race,It marked the end of the Cold War,It was Truman's first statement on European affairs,It indicated US reluctance to get involved in incidents outside of its immediate sphere of influence,C,ori_mmlu-us_foreign_policy
The dominant course for foreign policy throughout most of American history can be categorized as,isolationism.,liberalism.,protectionism.,neoconservatism.,realism.,containment.,imperialism.,interventionism.,pacifism.,non-alignment.,A,ori_mmlu-us_foreign_policy
What led Britain to impose new taxes on their American colonies?,Due to a financial crisis in Britain,To finance the exploration of new territories,The escalating costs of maintaining the royal court,Anger at America's growing prosperity,To suppress the growing independence movement in the colonies,The growing costs of war with France,To increase the wealth of King George III,Pressure from rich merchants,To cover the costs of the British East India Company's losses,To fund the construction of new colonies,F,ori_mmlu-us_foreign_policy
"Who said ""Globalization is not something we can hold off or turn off. It is the economic equivalent of a force of nature-like wind or water""?",George W. Bush,Bill Clinton,Ronald Reagan,Henry Kissinger,Winston Churchill,Al Gore,Margaret Thatcher,Tony Blair,Barack Obama,George Soros,B,ori_mmlu-us_foreign_policy
Intergovernmental organizations SELDOM do which of the following?,Implement economic sanctions,Provide strong enforcement,Regulate international trade,Promote global standards,Handle disputes between member nations,Reduce transaction costs for agreements,Monitor parties,Facilitate international cooperation,Act independently of national governments,Provide fora for discussion,B,ori_mmlu-us_foreign_policy
What is direct diplomacy?,Bilateral talks that do not involve a third-party negotiator,Diplomats negotiating on behalf of state leaders.,Face-to-face meetings between state leaders,The president consulting Congress on foreign policy issues,Multilateral talks involving several nations,State leaders communicating through written letters,Use of social media by state leaders to address foreign policy issues,Members of Congress negotiating directly with foreign governments,Foreign policy decisions made without consulting with other nations,Non-governmental organizations conducting negotiations with foreign entities,H,ori_mmlu-us_foreign_policy
"Which of the following considers it immoral to use force abroad to do good things (such human rights protection, democracy, etc)?",All of the above,Marxism,Constructivism,Idealism,None of the above,Liberalism,Realism,Neoconservatism,Feminism,Libertarianism,G,ori_mmlu-us_foreign_policy
Which is NOT a reason for why intergovernmental organizations are ineffective at promoting human rights?,These organizations merely identify those states who already support human rights,They lack the necessary funding to enforce human rights standards,These organizations have little ability to constrain abusive leaders,They cannot get enough information about which leaders will abuse their citizens,They only focus on high-profile cases and ignore systemic issues,They are biased towards certain countries or regions,None of the above,They are too dependent on the cooperation of member states,Their enforcement mechanisms are too weak,They are too focused on economic development to consider human rights,D,ori_mmlu-us_foreign_policy
Why might the 'Philadelphian System' be linked to the idea of American exceptionalism?,It promoted the expansion of overseas territories,It encouraged the centralization of political power in the US,It disapproved of the idea of a democratic form of government,It created a large standing army,It encouraged greater involvement in European politics,It promoted the concept of a strong federal government,It advocated for a monarchial system of government,It encouraged isolationism in foreign affairs,It suppressed the rights of the individual states,It was designed as the antithesis of European politics,J,ori_mmlu-us_foreign_policy
"According to International Institutionalists, what problems have international institutions been designed to address?",Economic disparities,Environmental degradation,War,Population growth,Anarchy,All of the above,Technology advancement,Cultural misunderstandings,Political corruption,Collective action and coordination problems,F,ori_mmlu-us_foreign_policy
What was meant by the term 'American multiplication table'?,Increase in US international influence,Increase in US technological advancements,Increase in US geographical territory,Increase in US education standards,Increase in US agricultural production,Increase in US military capability,Increase in US finances,Increase in the US population,Increase in US political parties,Increase in US industrial output,H,ori_mmlu-us_foreign_policy
How many states in the international system are likely to have nuclear weapons right now?,More than 25,Between 16 and 25,More than 100,Exactly 7,Between 36 and 50,Fewer than 7,Between 50 and 100,Between 8 and 15,Between 26 and 35,Exactly 15,H,ori_mmlu-us_foreign_policy
What features distinguish Socio-Economic accounts of US Cold War foreign policy?,All of the above,A focus on religious influences,A focus on language and culture,A focus on military strategy,A focus on liberal ideology,A focus on technological advancements,A focus on geographical location,All except a focus on class and economic interests,A focus on class and economic interests,A focus on political alliances,I,ori_mmlu-us_foreign_policy
The role of gathering and interpreting intelligence about foreign countries in order to allow policymakers to make good foreign policy decisions was given to,the Department of Homeland Security.,the White House.,the National Security Council.,the Department of State.,the Central Intelligence Agency (CIA).,the National Security Agency (NSA).,the National Intelligence Agency.,the Federal Bureau of Investigation (FBI).,Both A and B are correct.,the Department of Defense.,E,ori_mmlu-us_foreign_policy
What drives US foreign policy according to the Marxist perspective?,Religious motivations,Nationalist sentiments,Humanitarian aid,The search for new markets,Military expansionism,Superstructure,Class consciousness,Economic protectionism,International relations theory,Promotion of democracy,D,ori_mmlu-us_foreign_policy
Why might American exceptionalism lead to opposition to world government?,It believes in the superiority of the American government system,It sees world government as a threat to individual liberties,It views world government as an infringement on sovereignty,It supports isolationist policies,It views world government as impractical,Its general anti-statism opposes centralized government,It views the UN as a sufficient form of global governance,It fears the loss of cultural identity,None of the above,It promotes nationalism over globalism,F,ori_mmlu-us_foreign_policy
