2000 cfm of an air stream at 60\textdegreeF and 0.75 relative humidity is adiabatically mixed with 1200 cfm of another air stream at 95\textdegreeF and 0.5 relative humidity. Determine (a) the mass flow rates of dry air in the two streams and (b) temperature and relative humidity of the mixture.,74°F and 66%,76°F and 64%,72°F and 70%,75°F and 65%,A,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D10-0332.htm
"Air at 14 lbf/in^2, 540\textdegreeR is supplied to an open Otto cycle with a compression ratio of 9. The maximum temperature for the cycle is 2500\textdegreeF. Compute the amount of heat supplied and rejected per lbm of air, the total work done per lbm of air, and the thermal efficiency of the cycle. Use the air tables to solve the problem.","400 Btu/lbm, 180 Btu/lbm, 200 Btu/lbm, 60%","360 Btu/lbm, 165 Btu/lbm, 195 Btu/lbm, 55%","354.91 Btu/lbm, 163.28 Btu/lbm, 191.63 Btu/lbm, 54%","350 Btu/lbm, 160 Btu/lbm, 190 Btu/lbm, 50%",C,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D09-0275.htm
"In a refrigeration plant, air is drawn from a room at 70\textdegreeF and 14.7 psia and compressed to 70 psia in a compressor having an adiabatic efficiency of 0.78. The air is then cooled to 30\textdegreeF in the cooler before expanding, in a turbine with an efficiency of 0.82, to the room pressure. Using air tables, calculate (a) the air temperature at the compressor and turbine exits, (b) the coefficient of performance (COP), and (c) the power required, if 120 lbm/min of air flows through the refrigerator.","930R, 355R, 0.8, 125 kW","890R, 340R, 0.76, 120 kW","800R, 330R, 0.75, 115 kW","910R, 345R, 0.77, 121 kW",D,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D09-0300.htm
"A 3.5m × 2m vertical plate is subjected to a constant heat flux of 800 W/m^2. The back of the plate is insulated and the ambient air temperature is 30\textdegreeC. Determine the average surface temperature of the plate, assuming that all the incident radiation is lost by free convection to the surrounding air.",70°C,155°C,104°C,185°C,D,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D13-0438.htm
"Steam enters a heat exchanger at 1.4 MPa and 300\textdegreeC, where it condenses on the outside of some tubes. The condensed steam leaves the heat exchanger as liquid at 1.4 MPa and 150\textdegreeC with a flow rate of 5,000 kg/hr. The steam is condensed by water passing through the tubes. The water enters the heat exchanger at 20\textdegreeC and experiences a temperature rise of 20\textdegreeC before leaving. Assuming the heat exchanger to be adiabatic, determine the flow rate of water required.",40.0 kg/sec,50.0 kg/sec,30.0 kg/sec,35.0 kg/sec,A,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D03-0077.htm
"The figure below shows two streams of air being mixed together during an adiabatic steady flow process. Each stream has a pressure of 100 kPa. One stream has a temperature of 40\textdegreeC, a 40% relative humidity and flows at the rate of 10 kg/min. The second stream has a temperature of 10\textdegreeC, a 100% relative humidity and flows at the rate of 15 kg/min. Calculate the specific humidity and the final temperature of this mixture.",Specific humidity: 0.0121; Final temperature: 40.0°C,Specific humidity: 0.0121; Final temperature: 21.0°C,Specific humidity: 0.0189; Final temperature: 21.0°C,Specific humidity: 0.0077; Final temperature: 21.0°C,B,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D10-0331.htm
"Hot gases with a mean specific heat of 0.26 Btu/lbm -\textdegreeF leave a gas turbine at 1200\textdegreeF and are used to heat water in a constant pressure heater. Water enters the heater at 200\textdegreeF and its temperature rises as a result of heat transfer with the gases. At the exit of the heater the temperature and mass flowrate of the gases are measured to be 300\textdegreeF and 200,000 lbm/hr respectively, and the mass flowrate of water is measured to be 250,000 lbm/hr. Assuming the lowest available sink temperature to be 100\textdegreeF and water to have a mean specific heat of 1.02 Btu/lbm -\textdegreeF determine the available and unavailable energies for the process.","13,850,000 Btu/hr","10,850,000 Btu/hr","11,850,000 Btu/hr","12,850,000 Btu/hr",C,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D05-0166.htm
An air standard Otto cycle of 48% thermal efficiency has air at 25\textdegreeC and 1 bar at the beginning of the isentropic compression. Calculate the temperature and pressure of air at the end of the isentropic compression process.,300°C and 9.87 bars,350°C and 10.5 bars,250°C and 7.5 bars,275°C and 8.5 bars,A,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D09-0276.htm
"An air standard Otto cycle in which the salient points are 1, 2, 3 and 4 has fixed upper and lower limits of absolute temperatures T_3 and T_1, respectively. If maximum work per unit mass of air is to be done, show that (a) the compression ratio R_c = (T_3 / T_1)^[1/{2(k-1)}] (b) the intermediate temperature T_2 = T_4 = \surd(T_1T_3)",R_c = (T_3 / T_1)^[1/{2(k+1)}] and T_2 = T_4 = \surd(T_1-T_3),R_c = (T_3 / T_1)^[1/{2(k-1)}] and T_2 = T_4 = \surd(T_1T_3),R_c = (T_3 * T_1)^[1/{2(k-1)}] and T_2 = T_4 = T_1+T_3,R_c = (T_3 - T_1)^[1/{2(k-1)}] and T_2 = T_4 = \surd(T_1+T_3),B,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D09-0277.htm
"An internally reversible air-standard Brayton cycle receives air at 27\textdegreeC and 103 kPa. The upper limits of pressure and temperature of the cycle are 517 kPa and 316\textdegreeC. Determine the thermal efficiency of the cycle, assuming constant specific heats.",28.7%,33.5%,36.9%,40.2%,C,stemez-Thermodynamics,engineering.csv,downloaded_html_data/Thermodynamics/1D09-0288.htm
